2011-07-01,29,18,1,0,14,Southwest
2011-07-01,29,18,1,0,14,Other Southwest
2011-08-01,31,24,158,0,14,Japan
2011-08-01,33,24,198,0,13,Southeast
2011-08-01,27,21,101,0,14,Illinois
2011-08-01,29,19,2,0,14,Other Southwest
2011-08-01,29,20,113,0,14,Connecticut
2011-08-01,27,20,85,0,14,Ohio
2011-08-01,39,25,15,0,14,Nevada
2011-08-01,34,22,124,0,14,South Carolina
2011-08-01,31,11,17,0,14,Midwest
2011-08-01,33,24,198,0,13,Florida
2011-08-01,27,21,101,0,14,Michigan
2011-08-01,29,19,2,0,14,California
2011-08-01,40,27,23,0,14,Arizona
2011-08-01,33,24,198,0,13,Other Southeast
2011-08-01,31,20,96,0,14,Georgia
2011-08-01,29,19,2,0,14,Southwest
2011-08-01,29,20,113,0,14,Northeast
2011-08-01,26,18,56,0,14,Canada
2011-08-01,24,14,30,0,15,Oregon
2011-08-01,25,12,97,0,13,Mexico
2011-08-01,30,22,295,0,14,South Korea
2011-08-01,28,12,54,0,14,New Mexico
2011-08-01,18,9,85,0,11,Australia
2011-08-01,31,11,17,0,14,Other Midwest
2011-08-01,29,20,113,0,14,New York
2011-08-01,36,25,68,0,14,Texas
2011-08-01,29,20,113,0,14,New Jersey
2011-08-01,29,20,113,0,14,Other Northeast
2011-09-01,31,19,97,0,13,South Carolina
2011-09-01,21,12,48,0,13,Oregon
2011-09-01,20,11,66,0,12,Australia
2011-09-01,25,5,23,6,13,Other Midwest
2011-09-01,23,17,85,0,13,Michigan
2011-09-01,29,18,7,0,13,California
2011-09-01,25,5,23,6,13,Midwest
2011-09-01,29,18,7,0,13,Southwest
2011-09-01,25,8,39,0,13,New Mexico
2011-09-01,25,16,111,0,13,New Jersey
2011-09-01,32,23,161,0,13,Florida
2011-09-01,28,17,94,0,13,Georgia
2011-09-01,32,23,161,0,13,Other Southeast
2011-09-01,38,24,17,0,13,Arizona
2011-09-01,32,21,104,0,13,Texas
2011-09-01,23,14,67,0,13,Canada
2011-09-01,32,23,161,0,13,Southeast
2011-09-01,25,16,111,0,13,New York
2011-09-01,25,16,111,0,13,Connecticut
2011-09-01,23,16,83,0,13,Ohio
2011-09-01,27,21,209,0,13,Japan
2011-09-01,25,16,111,0,13,Other Northeast
2011-09-01,35,21,5,0,13,Nevada
2011-09-01,25,16,111,0,13,Northeast
2011-09-01,29,18,7,0,13,Other Southwest
2011-09-01,26,17,151,0,13,South Korea
2011-09-01,24,12,97,0,13,Mexico
2011-09-01,23,17,85,0,13,Illinois
2011-10-01,28,14,9,0,12,Nevada
2011-10-01,18,10,106,2,11,New Jersey
2011-10-01,26,12,74,0,12,South Carolina
2011-10-01,16,8,81,0,11,Oregon
2011-10-01,32,18,19,0,12,Arizona
2011-10-01,17,10,72,2,11,Michigan
2011-10-01,17,0,28,96,11,Midwest
2011-10-01,27,15,109,0,12,Texas
2011-10-01,29,20,76,0,12,Southeast
2011-10-01,18,10,106,2,11,Northeast
2011-10-01,18,10,106,2,11,Other Northeast
2011-10-01,18,10,106,2,11,New York
2011-10-01,18,10,106,2,11,Connecticut
2011-10-01,29,20,76,0,12,Other Southeast
2011-10-01,29,20,76,0,12,Florida
2011-10-01,26,16,13,0,12,California
2011-10-01,26,16,13,0,12,Other Southwest
2011-10-01,22,15,193,0,12,Japan
2011-10-01,15,8,71,2,11,Canada
2011-10-01,24,10,45,0,12,Mexico
2011-10-01,26,16,13,0,12,Southwest
2011-10-01,19,2,30,16,12,New Mexico
2011-10-01,20,10,52,0,12,South Korea
2011-10-01,17,0,28,96,11,Other Midwest
2011-10-01,17,10,74,8,11,Ohio
2011-10-01,17,10,72,2,11,Illinois
2011-10-01,22,14,79,0,13,Australia
2011-10-01,23,10,72,0,12,Georgia
2011-11-01,10,4,87,7,10,Illinois
2011-11-01,25,15,39,0,11,Southeast
2011-11-01,11,4,60,119,10,Ohio
2011-11-01,12,5,105,8,10,New York
2011-11-01,12,5,105,8,10,Northeast
2011-11-01,25,10,19,0,11,Arizona
2011-11-01,12,5,105,8,10,New Jersey
2011-11-01,20,8,9,0,11,Nevada
2011-11-01,12,5,105,8,10,Other Northeast
2011-11-01,18,5,91,0,11,Georgia
2011-11-01,20,9,84,0,11,Texas
2011-11-01,8,-6,16,183,10,Midwest
2011-11-01,12,2,49,0,10,South Korea
2011-11-01,23,7,6,0,12,Mexico
