2010-03-01,10,Connecticut
2010-03-01,13,Oregon
2010-04-01,23,Southwest
2010-04-01,13,Michigan
2010-04-01,15,Oregon
2010-04-01,14,Ohio
2010-04-01,23,Other Southwest
2010-04-01,13,Illinois
2010-04-01,19,Japan
2010-04-01,12,Canada
2010-04-01,23,Georgia
2010-04-01,27,Mexico
2010-04-01,23,Australia
2010-04-01,18,South Korea
2010-04-01,15,Other Midwest
2010-04-01,17,New Mexico
2010-04-01,26,South Carolina
2010-04-01,27,Nevada
2010-04-01,17,Connecticut
2010-04-01,23,California
2010-04-01,15,Midwest
2010-04-01,28,Southeast
2010-04-01,28,Other Southeast
2010-04-01,17,New York
2010-04-01,17,Northeast
2010-04-01,26,Texas
2010-04-01,30,Arizona
2010-04-01,17,Other Northeast
2010-04-01,17,New Jersey
2010-04-01,28,Florida
2010-05-01,35,Arizona
2010-05-01,22,New Mexico
2010-05-01,22,New Jersey
2010-05-01,23,Japan
2010-05-01,19,Illinois
2010-05-01,22,Connecticut
2010-05-01,24,California
2010-05-01,31,Other Southeast
2010-05-01,27,Georgia
2010-05-01,22,Northeast
2010-05-01,27,Mexico
2010-05-01,23,South Korea
2010-05-01,22,Other Northeast
2010-05-01,22,New York
2010-05-01,20,Australia
2010-05-01,18,Oregon
2010-05-01,19,Canada
2010-05-01,30,South Carolina
2010-05-01,20,Other Midwest
2010-05-01,24,Southwest
2010-05-01,31,Southeast
2010-05-01,20,Midwest
2010-05-01,24,Other Southwest
2010-05-01,32,Nevada
2010-05-01,20,Ohio
2010-05-01,19,Michigan
2010-05-01,30,Texas
2010-05-01,31,Florida
2010-06-01,32,Southeast
2010-06-01,27,Northeast
2010-06-01,32,Florida
2010-06-01,26,Mexico
2010-06-01,27,South Korea
2010-06-01,25,Michigan
2010-06-01,27,New York
2010-06-01,26,Southwest
2010-06-01,38,Nevada
2010-06-01,27,Midwest
2010-06-01,17,Australia
2010-06-01,26,California
2010-06-01,21,Oregon
2010-06-01,27,Other Northeast
2010-06-01,33,South Carolina
2010-06-01,30,Georgia
2010-06-01,25,Illinois
2010-06-01,32,Other Southeast
2010-06-01,40,Arizona
2010-06-01,28,New Mexico
2010-06-01,24,Canada
2010-06-01,34,Texas
2010-06-01,26,Other Southwest
2010-06-01,25,Ohio
2010-06-01,27,Connecticut
2010-06-01,26,Japan
2010-06-01,27,New Jersey
2010-06-01,27,Other Midwest
2010-07-01,32,Other Midwest
2010-07-01,29,Other Northeast
2010-07-01,28,Illinois
2010-07-01,32,Midwest
2010-07-01,28,Michigan
2010-07-01,27,Ohio
2010-07-01,29,South Korea
2010-07-01,30,New Mexico
2010-07-01,29,Northeast
2010-07-01,41,Nevada
2010-07-01,41,Arizona
2010-07-01,32,Georgia
2010-07-01,33,Southeast
2010-07-01,24,Oregon
2010-07-01,33,Other Southeast
2010-07-01,29,California
2010-07-01,29,New Jersey
2010-07-01,27,Canada
2010-07-01,29,Connecticut
2010-07-01,33,Florida
2010-07-01,29,Southwest
2010-07-01,35,South Carolina
2010-07-01,29,Other Southwest
2010-07-01,24,Mexico
2010-07-01,17,Australia
2010-07-01,29,New York
2010-07-01,36,Texas
2010-07-01,29,Japan
2010-08-01,33,Southeast
2010-08-01,29,Connecticut
2010-08-01,27,Illinois
2010-08-01,31,Japan
2010-08-01,34,South Carolina
2010-08-01,27,Ohio
2010-08-01,39,Nevada
2010-08-01,29,Southwest
2010-08-01,40,Arizona
2010-08-01,31,Midwest
2010-08-01,33,Florida
2010-08-01,27,Michigan
2010-08-01,29,California
2010-08-01,33,Other Southeast
2010-08-01,26,Canada
2010-08-01,29,Other Southwest
2010-08-01,31,Georgia
2010-08-01,36,Texas
2010-08-01,29,New Jersey
2010-08-01,25,Mexico
2010-08-01,30,South Korea
2010-08-01,29,New York
2010-08-01,28,New Mexico
2010-08-01,29,Other Northeast
2010-08-01,29,Northeast
