area_id,num_businesses,retail_trade,accommodation_and_food_services,health_care_and_social_assistance,education_and_training,arts_and_recreation_services
120011383,2597.0,131.0,113.0,226.0,49.0,29.0
120011384,2809.0,159.0,196.0,178.0,40.0,25.0
120011385,2357.0,149.0,104.0,217.0,31.0,36.0
120011386,2635.0,166.0,106.0,225.0,41.0,36.0
120021387,2372.0,99.0,103.0,232.0,37.0,80.0
120021388,3345.0,218.0,169.0,300.0,59.0,144.0
120021389,1803.0,99.0,73.0,131.0,42.0,50.0
120031390,1947.0,135.0,118.0,134.0,41.0,21.0
120031391,3477.0,261.0,188.0,309.0,63.0,23.0
120031392,869.0,37.0,34.0,48.0,11.0,22.0
120031393,1560.0,99.0,76.0,70.0,16.0,10.0
120031394,1149.0,74.0,51.0,76.0,24.0,28.0
120031395,1340.0,70.0,76.0,136.0,23.0,36.0
120031396,2127.0,186.0,105.0,85.0,19.0,12.0
120031575,3558.0,177.0,152.0,525.0,52.0,8.0
120031576,574.0,34.0,21.0,21.0,8.0,5.0
121011398,5358.0,280.0,250.0,495.0,87.0,48.0
121011399,1851.0,81.0,41.0,146.0,34.0,31.0
121011400,3823.0,176.0,108.0,448.0,66.0,76.0
121011401,3127.0,120.0,104.0,236.0,58.0,38.0
121011402,3338.0,151.0,112.0,246.0,56.0,54.0
121021403,1510.0,74.0,32.0,64.0,33.0,20.0
121021404,888.0,45.0,22.0,38.0,17.0,23.0
121021406,1604.0,84.0,31.0,93.0,26.0,12.0
121021577,1599.0,120.0,65.0,140.0,44.0,8.0
121021578,778.0,39.0,38.0,44.0,24.0,9.0
121021579,697.0,40.0,24.0,43.0,9.0,9.0
121031407,2819.0,147.0,96.0,339.0,42.0,21.0
121031408,2797.0,147.0,108.0,313.0,45.0,33.0
121031409,2271.0,85.0,47.0,247.0,50.0,32.0
121031410,2386.0,149.0,55.0,212.0,71.0,31.0
121031411,2026.0,105.0,48.0,183.0,51.0,36.0
121031412,2148.0,83.0,60.0,284.0,35.0,22.0
121041413,2276.0,66.0,69.0,195.0,44.0,50.0
121041414,2958.0,136.0,139.0,240.0,58.0,57.0
121041415,4227.0,180.0,133.0,382.0,78.0,82.0
121041416,2872.0,144.0,123.0,199.0,58.0,61.0
121041417,6928.0,202.0,213.0,259.0,95.0,76.0
122011418,2617.0,118.0,106.0,170.0,44.0,53.0
122011419,3000.0,156.0,147.0,195.0,61.0,58.0
122021420,1920.0,95.0,54.0,86.0,29.0,39.0
122021421,1529.0,63.0,36.0,42.0,27.0,33.0
122021422,1874.0,104.0,55.0,94.0,46.0,34.0
122021423,3779.0,213.0,120.0,203.0,52.0,54.0
122031424,1153.0,63.0,36.0,46.0,16.0,16.0
122031425,940.0,40.0,16.0,24.0,20.0,7.0
122031426,2413.0,123.0,101.0,172.0,57.0,43.0
122031427,1178.0,64.0,40.0,67.0,23.0,18.0
122031428,2959.0,129.0,72.0,118.0,63.0,32.0
122031429,4069.0,270.0,108.0,152.0,96.0,69.0
122031430,1517.0,70.0,42.0,87.0,44.0,20.0
122031431,2401.0,117.0,71.0,102.0,44.0,39.0
122031432,591.0,32.0,31.0,23.0,9.0,8.0
123011433,1270.0,71.0,53.0,97.0,19.0,14.0
123011434,1719.0,90.0,54.0,78.0,28.0,27.0
123011435,1838.0,93.0,45.0,65.0,20.0,27.0
123021436,625.0,31.0,13.0,32.0,13.0,12.0
123021437,1744.0,178.0,99.0,216.0,27.0,20.0
123021438,792.0,34.0,12.0,27.0,13.0,7.0
123021439,0.0,0.0,0.0,0.0,0.0,0.0
123021440,1965.0,111.0,46.0,79.0,15.0,13.0
123021441,683.0,36.0,20.0,32.0,16.0,11.0
123021442,1049.0,56.0,37.0,50.0,16.0,8.0
123021443,1345.0,92.0,37.0,47.0,16.0,9.0
123021444,863.0,44.0,27.0,45.0,8.0,11.0
123031445,449.0,24.0,8.0,11.0,3.0,6.0
123031446,885.0,41.0,14.0,27.0,12.0,22.0
123031447,1330.0,63.0,42.0,49.0,21.0,13.0
123031448,1015.0,44.0,17.0,21.0,8.0,21.0
124011449,446.0,50.0,46.0,28.0,7.0,13.0
124011450,1362.0,77.0,45.0,112.0,34.0,16.0
124011451,3.0,0.0,0.0,0.0,0.0,0.0
124011452,1160.0,94.0,119.0,80.0,27.0,41.0
124011453,623.0,36.0,16.0,40.0,15.0,20.0
124011454,1429.0,92.0,53.0,93.0,33.0,38.0
124011455,426.0,34.0,28.0,42.0,10.0,5.0
124021456,0.0,0.0,0.0,0.0,0.0,0.0
124031457,587.0,37.0,21.0,17.0,10.0,4.0
124031458,1410.0,50.0,31.0,28.0,19.0,17.0
124031459,1018.0,48.0,18.0,44.0,18.0,11.0
124031460,1143.0,40.0,30.0,65.0,20.0,17.0
124031461,1188.0,75.0,30.0,37.0,19.0,23.0
124031462,960.0,54.0,32.0,83.0,14.0,9.0
124031463,1156.0,41.0,16.0,41.0,14.0,10.0
124031464,1936.0,165.0,95.0,192.0,35.0,26.0
124031465,521.0,24.0,11.0,9.0,3.0,5.0
124041466,1134.0,93.0,57.0,65.0,17.0,30.0
124041467,1253.0,66.0,59.0,66.0,13.0,18.0
124041468,814.0,30.0,14.0,10.0,12.0,15.0
124051469,402.0,18.0,15.0,16.0,4.0,3.0
124051470,951.0,50.0,21.0,43.0,10.0,7.0
124051580,420.0,24.0,11.0,11.0,6.0,3.0
124051581,1397.0,102.0,42.0,52.0,7.0,11.0
125011473,2807.0,173.0,136.0,135.0,39.0,29.0
125011475,3.0,0.0,0.0,0.0,0.0,0.0
125011582,1745.0,106.0,70.0,109.0,21.0,6.0
125011583,1317.0,121.0,64.0,29.0,19.0,3.0
125011584,902.0,51.0,31.0,38.0,5.0,3.0
125011585,679.0,31.0,18.0,33.0,7.0,0.0
125011586,2325.0,165.0,123.0,138.0,19.0,15.0
125011587,569.0,47.0,12.0,26.0,11.0,3.0
125021476,2604.0,130.0,93.0,231.0,46.0,21.0
125021477,2105.0,157.0,95.0,74.0,23.0,20.0
125021478,1544.0,101.0,56.0,90.0,33.0,15.0
125031479,1504.0,115.0,52.0,75.0,9.0,5.0
125031480,1201.0,93.0,26.0,27.0,6.0,5.0
125031481,2159.0,153.0,84.0,73.0,18.0,12.0
125031482,1890.0,120.0,65.0,70.0,26.0,16.0
125031483,1790.0,117.0,59.0,117.0,15.0,10.0
