area_id,num_businesses,retail_trade,accommodation_and_food_services,health_care_and_social_assistance,education_and_training,arts_and_recreation_services
125031484,1523.0,89.0,42.0,42.0,17.0,12.0
125031485,2601.0,161.0,98.0,134.0,14.0,19.0
125031486,684.0,28.0,6.0,0.0,4.0,0.0
125031487,190.0,5.0,0.0,3.0,0.0,0.0
125041489,2422.0,148.0,78.0,165.0,37.0,18.0
125041490,848.0,67.0,23.0,63.0,22.0,9.0
125041491,1671.0,97.0,69.0,299.0,13.0,12.0
125041492,5067.0,322.0,294.0,222.0,67.0,39.0
125041493,1466.0,89.0,29.0,84.0,18.0,11.0
125041494,810.0,31.0,29.0,51.0,17.0,15.0
125041588,1203.0,101.0,39.0,41.0,17.0,5.0
125041589,1282.0,112.0,86.0,136.0,17.0,13.0
126011495,2598.0,136.0,89.0,249.0,69.0,24.0
126011496,2050.0,74.0,68.0,261.0,35.0,25.0
126021497,2624.0,184.0,153.0,277.0,49.0,17.0
126021498,2114.0,102.0,76.0,156.0,36.0,32.0
126021499,1421.0,48.0,71.0,136.0,22.0,17.0
126021500,2077.0,120.0,103.0,94.0,32.0,15.0
126021501,1285.0,65.0,45.0,109.0,25.0,15.0
126021503,1873.0,133.0,78.0,124.0,27.0,13.0
126021590,554.0,29.0,17.0,51.0,4.0,10.0
126021591,2301.0,146.0,113.0,134.0,37.0,28.0
127011504,508.0,25.0,24.0,37.0,4.0,0.0
127011505,1414.0,54.0,25.0,34.0,5.0,11.0
127011506,1555.0,63.0,23.0,35.0,16.0,22.0
127011592,12.0,0.0,0.0,0.0,0.0,0.0
127011593,586.0,30.0,21.0,31.0,3.0,3.0
127011594,722.0,57.0,28.0,46.0,7.0,4.0
127011595,672.0,25.0,22.0,25.0,0.0,5.0
127011596,633.0,27.0,26.0,35.0,5.0,3.0
127011597,1021.0,55.0,19.0,44.0,9.0,7.0
127021509,852.0,66.0,31.0,40.0,3.0,3.0
127021510,1364.0,64.0,35.0,66.0,26.0,11.0
127021511,1872.0,262.0,118.0,153.0,15.0,8.0
127021512,926.0,62.0,41.0,54.0,8.0,4.0
127021513,1045.0,88.0,62.0,63.0,14.0,9.0
127021514,721.0,41.0,34.0,28.0,3.0,7.0
127021515,1364.0,142.0,64.0,111.0,12.0,5.0
127021516,959.0,63.0,40.0,73.0,14.0,3.0
127021517,493.0,28.0,27.0,21.0,5.0,0.0
127021518,963.0,49.0,21.0,17.0,8.0,5.0
127021519,1393.0,89.0,44.0,54.0,16.0,12.0
127021520,624.0,40.0,26.0,24.0,3.0,3.0
127021521,1693.0,97.0,20.0,6.0,8.0,12.0
127031522,1092.0,85.0,31.0,65.0,10.0,16.0
127031523,2431.0,170.0,70.0,75.0,19.0,16.0
127031524,1148.0,57.0,45.0,69.0,22.0,9.0
127031598,2589.0,206.0,107.0,266.0,29.0,9.0
127031599,462.0,36.0,5.0,17.0,13.0,3.0
127031600,1668.0,106.0,48.0,68.0,21.0,14.0
127031601,330.0,29.0,3.0,9.0,0.0,22.0
128011529,1421.0,60.0,41.0,73.0,24.0,26.0
128011530,2217.0,154.0,78.0,209.0,26.0,25.0
128011531,2301.0,145.0,96.0,90.0,17.0,30.0
128011602,2052.0,136.0,82.0,91.0,22.0,19.0
128011603,1157.0,56.0,23.0,67.0,19.0,11.0
128011604,2485.0,119.0,130.0,109.0,42.0,42.0
128011605,442.0,9.0,14.0,22.0,5.0,4.0
128011606,924.0,45.0,23.0,56.0,17.0,15.0
128021533,377.0,23.0,8.0,12.0,13.0,3.0
128021534,1138.0,51.0,26.0,76.0,12.0,10.0
128021535,1595.0,77.0,46.0,92.0,39.0,21.0
128021536,1591.0,90.0,49.0,84.0,24.0,24.0
128021537,3.0,0.0,3.0,0.0,0.0,0.0
128021538,2086.0,107.0,79.0,134.0,36.0,27.0
128021607,1121.0,75.0,38.0,76.0,28.0,11.0
128021608,417.0,17.0,6.0,17.0,7.0,7.0
128021609,259.0,10.0,5.0,10.0,0.0,7.0
