area_id,num_businesses,retail_trade,accommodation_and_food_services,health_care_and_social_assistance,education_and_training,arts_and_recreation_services,retail_trade_z,accommodation_and_food_services_z,health_care_and_social_assistance_z,education_and_training_z,arts_and_recreation_services_z
120031395,1340,70,76,136,23,36,-0.318468558,0.296294308,1.429686201,0.38171709,1.435731772
120031396,2127,186,105,85,19,12,1.732467644,0.167404675,-0.618394042,-0.903974326,-0.808268014
120031575,3558,177,152,525,52,8,-0.463617128,0.050901316,2.962905675,-0.016455172,-1.16704018
120031576,574,34,21,21,8,5,0.088979871,-0.056670382,-0.730800938,-0.122302712,-0.483777903
121011398,5358,280,250,495,87,48,-0.317332691,0.119957653,1.126541803,0.236960681,-0.457581749
121011399,1851,81,41,146,34,31,-0.812364114,-0.309767323,0.676886082,0.569816104,0.365961698
121011400,3823,176,108,448,66,76,-0.679724652,-0.202816084,1.952037572,0.397297336,0.697104246
121011401,3127,120,104,236,58,38,-1.126030344,-0.114997711,0.563561747,0.597880878,-0.119917343
121011402,3338,151,112,246,56,54,-0.726353512,-0.109837448,0.504483657,0.321166208,0.305658506
121021403,1510,74,32,64,33,20,-0.506748071,-0.326566654,-0.537785234,1.114283464,-0.004374771
121021404,888,45,22,38,17,23,-0.409523232,-0.263749555,-0.524181765,0.690974444,1.333726814
121021406,1604,84,31,93,26,12,-0.310880058,-0.359272825,-0.018661761,0.232598872,-0.613773106
121021577,1599,120,65,140,44,8,1.010137228,0.01460338,0.965754856,1.998789734,-0.87578935
121021578,778,39,38,44,24,9,-0.441395011,0.158250242,-0.066086702,2.519090181,-0.181673996
121021579,697,40,24,43,9,9,-0.018473181,-0.09440355,0.104925752,-0.282369673,-0.039535306
121031407,2819,147,96,339,42,21,-0.323865842,-0.10104266,2.054223423,0.02789563,-0.617140238
121031408,2797,147,108,313,45,33,-0.299973455,-0.021122689,1.776293763,0.213729173,-0.157331629
121031409,2271,85,47,247,50,32,-1.181194164,-0.335268878,1.67167804,1.139653648,0.085038312
121031410,2386,149,55,212,71,31,0.276209582,-0.293970786,1.008923637,2.348618628,-0.031079684
121031411,2026,105,48,183,51,36,-0.342500056,-0.28273415,1.057991251,1.632603186,0.473943376
121031412,2148,83,60,284,35,22,-1.1105846,-0.208375987,2.452341737,0.245836394,-0.321875618
121041413,2276,66,69,195,44,50,-1.672266082,-0.166587299,0.903240926,0.720341532,0.917940882
121041414,2958,136,139,240,58,57,-0.683227437,0.125778883,0.752099327,0.763401138,0.632619808
121041415,4227,180,133,382,78,82,-0.880910812,-0.146458123,1.059510973,0.582991625,0.646293216
121041416,2872,144,123,199,58,61,-0.440769328,0.052771572,0.35778878,0.855108955,0.840883861
121041417,6928,202,213,259,95,76,-1.663015666,-0.159074976,-0.704200235,-0.157416708,-0.244915868
122011418,2617,118,106,170,44,53,-0.734908978,0.012043298,0.213667394,0.326887873,0.736490849
122011419,3000,156,147,195,61,58,-0.332379363,0.160999687,0.215002896,0.876717876,0.639339616
122021420,1920,95,54,86,29,39,-0.479221668,-0.205008899,-0.457647649,0.059956866,0.742866651
122021421,1529,63,36,42,27,33,-0.961297381,-0.285315119,-1.034248669,0.458942403,0.877168139
122021422,1874,104,55,94,46,34,-0.128716725,-0.183548327,-0.278955537,1.534774699,0.513487
122021423,3779,213,120,203,52,54,-0.078163002,-0.141372807,-0.160530338,-0.149953337,0.106055866
122031424,1153,63,36,46,16,16,-0.178591379,-0.150692404,-0.620606372,-0.131742914,0.062426325
122031425,940,40,16,24,20,7,-0.882670065,-0.399694317,-1.098723898,1.024049182,-0.617419539
122031426,2413,123,101,172,57,43,-0.39215172,0.035752163,0.424056482,1.390393087,0.479350177
122031427,1178,64,40,67,23,18,-0.196689976,-0.102774462,-0.05540891,0.750401926,0.210796105
122031428,2959,129,72,118,63,32,-0.821936015,-0.271503326,-0.621191749,1.026295389,-0.26135817
122031429,4069,270,108,152,96,69,0.503842368,-0.232761591,-0.705162558,1.385859287,0.388141626
122031430,1517,70,42,87,44,20,-0.67351731,-0.212702131,-0.039632378,2.231114226,-0.010836707
122031431,2401,117,71,102,44,39,-0.522879456,-0.17965547,-0.534516798,0.563138548,0.31262401
122031432,591,32,31,23,9,8,-0.207399848,0.221550547,-0.653187645,0.079365408,0.026429155
123011433,1270,71,53,97,19,14,-0.104877468,0.033572303,0.593727158,0.037537383,-0.239243981
123011434,1719,90,54,78,28,27,-0.311640611,-0.147348519,-0.438223671,0.24494807,0.255907861
123011435,1838,93,45,65,20,27,-0.414020193,-0.268862996,-0.771437548,-0.599612287,0.148388544
123021436,625,31,13,32,13,12,-0.472182946,-0.333440654,-0.244341146,0.949608101,0.625242317
123021437,1744,178,99,216,27,20,2.58393622,0.297164613,2.173979118,0.118917464,-0.192271657
123021438,792,34,12,27,13,7,-0.860761594,-0.43247749,-0.813830927,0.264566198,-0.470288644
123021439,0,0,0,0,0,0,0,0,0,0,0
123021440,1965,111,46,79,15,13,-0.070914645,-0.287684423,-0.610366373,-1.106897804,-0.70528438
123021441,683,36,20,32,16,11,-0.29110012,-0.184712704,-0.389063712,1.359781418,0.298052897
123021442,1049,56,37,50,16,8,-0.251749078,-0.079703561,-0.362025012,0.08314453,-0.598440812
123021443,1345,92,37,47,16,9,0.623031746,-0.215804291,-0.785427195,-0.441151337,-0.697283416
123021444,863,44,27,45,8,11,-0.391508341,-0.149582296,-0.212929842,-0.851302924,-0.057112664
123031445,449,24,8,11,3,6,-0.247791448,-0.385736102,-1.133109078,-1.255605314,0.008100898
123031446,885,41,14,27,12,22,-0.662800262,-0.420770583,-0.933075127,-0.181337577,1.223541219
123031447,1330,63,42,49,21,13,-0.602175752,-0.144449647,-0.722255161,0.166997259,-0.371320085
123031448,1015,44,17,21,8,21,-0.836269127,-0.404472296,-1.259902388,-1.068132864,0.782743169
124011449,446,50,46,28,7,13,3.16897945,1.110237712,0.141117376,0.152251605,1.677039854
124011450,1362,77,45,112,34,16,-0.068237496,-0.118838685,0.788584196,1.599886161,-0.162715929
124011451,3,0,0,0,0,0,-3.36145701,-0.698134239,-1.948574115,-2.299213379,-1.404768652
124011452,1160,94,119,80,27,41,1.358922613,1.100545163,0.346998311,1.336321268,2.332230708
124011453,623,36,16,40,15,20,0.004600383,-0.247839654,0.188555912,1.461460948,1.989444445
124011454,1429,92,53,93,33,38,0.388814072,-0.047842211,0.2176816,1.307770689,1.406798908
124011455,426,34,28,42,10,5,1.2877232,0.454292221,1.333124494,1.367296959,-0.163809286
124021456,0,0,0,0,0,0,0,0,0,0,0
124031457,587,37,21,17,10,4,0.310272546,-0.070876566,-0.984590124,0.361661244,-0.684293435
124031458,1410,50,31,28,19,17,-1.295801222,-0.31264934,-1.287579502,-0.194480424,-0.130012946
124031459,1018,48,18,44,18,11,-0.614824717,-0.388114379,-0.509895129,0.462554919,-0.262305864
124031460,1143,40,30,65,20,17,-1.322909566,-0.237941446,-0.055680842,0.433828447,0.167764634
124031461,1188,75,30,37,19,23,0.316036249,-0.255372991,-0.911895154,0.19882826,0.642187555
124031462,960,54,32,83,14,9,-0.084810516,-0.113689391,0.929260692,-0.021393832,-0.413552358
124031463,1156,41,16,41,14,10,-1.295443842,-0.455458178,-0.768022379,-0.40759853,-0.490151541
124031464,1936,165,95,192,35,26,1.603158889,0.162231368,1.352496977,0.524529861,0.015155515
124031465,521,24,11,9,3,5,-0.678086881,-0.327948443,-1.373579487,-1.399827542,-0.390087865
124041466,1134,93,57,65,17,30,1.415781852,0.183171484,-0.040657879,0.04230936,1.392314364
124041467,1253,66,59,66,13,18,-0.293142124,0.127458243,-0.195291744,-0.678691891,0.114094304
124041468,814,30,14,10,12,15,-1.214596081,-0.39657793,-1.539657651,0.003391147,0.543568043
124051469,402,18,15,16,4,3,-0.753181194,-0.043904932,-0.623766148,-0.745050788,-0.615740756
124051470,951,50,21,43,10,7,-0.298812782,-0.310962574,-0.443537935,-0.656801808,-0.626526627
124051580,420,24,11,11,6,3,-0.032800255,-0.238927573,-1.076803158,-0.067879945,-0.649556238
124051581,1397,102,42,52,7,11,0.891694249,-0.171004312,-0.709589427,-1.516569584,-0.57225103
125011473,2807,173,136,135,39,29,0.22867777,0.151361656,-0.347725158,-0.129088593,-0.312441469
125011475,3,0,0,0,0,0,-3.36145701,-0.698134239,-1.948574115,-2.299213379,-1.404768652
125011582,1745,106,70,109,21,6,0.177029111,0.005209131,0.130596211,-0.41952275,-1.041228005
125011583,1317,121,64,29,19,3,1.990426574,0.153903808,-1.215629389,-0.045854634,-1.163926424
125011584,902,51,31,38,5,3,-0.067858169,-0.095546979,-0.546289851,-1.433396637,-1.053117638
125011585,679,31,18,33,7,0,-0.701963211,-0.23333274,-0.330854814,-0.688972757,-1.404768652
125011586,2325,165,123,138,19,15,0.772519928,0.229436293,0.027099186,-1.022794684,-0.72264131
125011587,569,47,12,26,11,3,1.450177755,-0.328362455,-0.427606093,0.720341532,-0.847318364
125021476,2604,130,93,231,46,21,-0.45335635,-0.071943331,1.004198481,0.459962373,-0.552109474
125021477,2105,157,95,74,23,20,0.983191178,0.093156885,-0.778431971,-0.592587807,-0.400210571
125021478,1544,101,56,90,33,15,0.449035746,-0.062209793,-0.008339649,1.039115787,-0.377601508
125031479,1504,115,52,75,9,5,1.092613283,-0.091928147,-0.28871041,-1.364545784,-1.053273512
125031480,1201,93,26,27,6,5,1.149274771,-0.318561399,-1.2002672,-1.518896941,-0.964594888
125031481,2159,153,84,73,18,12,0.766601565,-0.015966098,-0.823116305,-0.996999333,-0.817109154
125031482,1890,120,65,70,26,16,0.337050496,-0.095135587,-0.715766701,-0.150521924,-0.509702087
125031483,1790,117,59,117,15,10,0.446042826,-0.120219501,0.227089919,-0.990330639,-0.814099724
125031484,1523,89,42,42,17,12,0.042602673,-0.214614536,-1.030646599,-0.555755213,-0.5717044
125031485,2601,161,98,134,14,19,0.244267868,-0.037516072,-0.233734737,-1.458495669,-0.632425314
125031486,684,28,6,0,4,0,-0.97689296,-0.544332964,-1.948574115,-1.385802032,-1.404768652
125031487,190,5,0,3,0,0,-1.828522978,-0.698134239,-1.423008849,-2.299213379,-1.404768652
125041489,2422,148,78,165,37,18,0.198089231,-0.133476542,0.319038201,0.086894628,-0.61899851
125041490,848,67,23,63,22,9,1.240960497,-0.222583597,0.524309624,1.752972339,-0.282636999
125041491,1671,97,69,299,13,12,0.019988138,0.025863867,4.00741287,-1.084064711,-0.645488666
