area_id,area_name,land_area,population,number_of_dwellings,population_density,dwelling_density,transport_density,ZP,ZD,ZT,retail_trade_z,accommodation_and_food_services_z,health_care_and_social_assistance_z,education_and_training_z,arts_and_recreation_services_z,carpods_num,busstops_num,librarybookstore_num,parksplaygrounds_num,trainstation_num
115011553,Castle Hill - Central,415.1,7992,2236,19.253192000000002,5.386653817999999,0.0,-1.07626802,-0.9935732159999999,-0.740649427,1.00013566,-0.35777534299999997,-0.36089867700000006,1.859011989,0.061256556,0.0,58.0,0.0,0.0,0.0
115011554,Castle Hill - East,207.2,5685,1489,27.43725869,7.186293436000001,0.0,-1.3699498909999999,-1.328397983,-0.740649427,-0.216774857,-0.51784277,1.6452654930000001,1.7160395869999998,-0.31757340300000003,0.0,49.0,0.0,0.0,0.0
115011555,Castle Hill - North,681.5,12409,3296,18.2083639,4.836390315,0.0,-0.513982444,-0.5184537339999999,-0.740649427,0.098171392,-0.021271609,1.0414643559999999,0.947567267,-0.698333877,0.0,84.0,0.0,0.0,0.0
115011556,Castle Hill - South,412.8,9970,2774,24.15213178,6.71996124,0.0,-0.824467959,-0.7524276679999999,-0.740649427,0.176486547,-0.09819085400000001,1.240484584,1.174718914,0.223234157,0.0,37.0,0.0,0.0,0.0
115011557,Castle Hill - West,163.6,5368,1315,32.81173594,8.037897311,0.0,-1.4103040969999998,-1.406389294,-0.740649427,-0.224838144,-0.462108435,0.803905515,0.704504705,-0.794789394,0.0,16.0,0.0,0.0,0.0
115011558,Cherrybrook,825.1,19518,4862,23.65531451,5.892619076,0.0,0.39099563200000004,0.183468066,-0.740649427,0.18860122699999998,-0.043218977,0.86523206,0.873783706,-1.058340939,0.0,123.0,0.0,0.0,0.0
115011559,Kellyville,1064.1,25111,6122,23.59834602,5.753218682000001,0.0,1.102986401,0.7482327329999999,-0.740649427,-0.34844874,-0.16911088600000002,0.777418141,0.141307564,-0.43633894,0.0,81.0,0.0,0.0,0.0
115021297,Dural - Kenthurst - Wisemans Ferry,37754.0,22060,5920,0.584308947,0.156804577,0.0,0.714593082,0.657691096,-0.740649427,0.039051011000000004,-0.28872134,-0.6742602879999999,-0.136340623,-0.02680845,0.0,281.0,0.0,0.0,0.0
115021298,Galston - Laughtondale,19169.9,5378,1569,0.280543978,0.081847062,0.0,-1.409031093,-1.292539909,-0.740649427,-0.434605022,-0.39731703799999996,-0.8472057270000001,0.763401138,0.7979342229999999,0.0,58.0,0.0,0.0,0.0
115031299,Bilpin - Colo - St Albans,216016.0,2751,858,0.012735168,0.003971928,0.0,-1.743449071,-1.6112285419999999,-0.740649427,-0.13522046199999999,-0.050749177,-1.641320575,-0.8574286990000001,0.221842702,0.0,20.0,0.0,0.0,0.0
115031300,Kurrajong Heights - Ebenezer,33185.0,22443,6680,0.676299533,0.20129576600000001,0.0,0.76334911,0.9983427990000001,-0.740649427,-1.132078875,-0.35901192,-1.140400366,-0.11379215599999999,0.161597837,0.0,151.0,0.0,0.0,0.0
115041301,Pitt Town - McGraths Hill,8155.2,11034,3083,1.353001766,0.378041005,0.0,-0.689020403,-0.613925857,-0.740649427,-0.6320405579999999,-0.287365357,-1.3739733719999998,-1.047355534,0.09448164,0.0,134.0,0.0,0.0,1.0
